date,daily_discharge_max
1,0.012
2,1.135
3,0.117
4,1.018
5,0.267
6,0.153
7,0.017
8,0.012
10,0.019
11,0.352
12,0.32
13,1.427
15,0.029
16,0.021
17,0.017
18,0.544
19,0.024
20,0.014
21,0.011
22,0.035
28,0.015
30,0.26
31,0.038
32,0.371
33,2.069
34,0.028
37,0.188
39,0.144
40,0.118
41,0.109
43,0.11
44,0.066
45,0.082
49,0.052
50,0.12
51,0.034
52,0.132
58,0.039
59,0.7
60,0.044
61,0.015
66,0.01
67,0.03
68,0.151
69,0.87
70,0.364
71,0.178
76,0.026
79,0.022
86,0.011
87,0.017
88,0.01
89,0.93
92,0.018
97,0.032
98,0.013
99,0.027
100,0.011
101,0.011
102,0.009
103,0.103
104,0.394
105,2.334
106,1.215
107,0.145
114,0.016
121,0.01
122,0.022
123,0.01
124,0.023
126,0.015
127,0.01
128,0.024
136,0.014
137,0.023
138,0.011
139,0.012
147,0.019
153,0.246
154,0.297
155,0.039
156,0.94
157,0.128
158,0.037
159,0.029
160,0.639
161,2.323
162,0.042
168,0.014
169,0.011
170,0.01
171,0.017
172,0.345
173,0.025
177,0.012
183,0.015
184,0.108
185,0.118
186,0.062
187,0.181
188,0.015
190,0.017
191,0.013
192,0.009
193,0.013
194,0.017
195,0.009
198,0.015
199,0.049
200,0.073
201,0.025
202,0.023
203,0.009
204,0.09
205,0.028
206,0.188
207,0.011
208,0.009
220,0.014
221,0.014
222,0.014
226,0.015
227,1.807
228,0.117
229,0.283
234,0.04
248,0.022
251,0.017
252,1.131
253,1.744
254,1.041
255,0.266
256,1.197
257,0.085
258,0.03
259,0.014
260,0.68
261,0.448
262,0.067
263,0.046
284,0.014
291,0.016
292,0.018
293,0.013
294,0.016
295,0.019
299,0.558
300,0.043
301,0.013
302,0.013
303,0.013
304,0.015
307,0.022
308,0.019
309,0.019
311,0.018
317,0.076
319,0.139
320,0.016
325,0.024
326,0.024
327,0.109
328,0.021
329,0.02
330,0.026
332,0.02
335,0.024
336,0.022
337,0.121
338,1.866
339,0.034
340,0.328
342,0.011
343,0.08
344,0.039
348,0.011
349,0.011
350,0.011
351,0.011
352,0.031
353,0.01
354,0.01
360,0.011
362,0.011
363,0.009
364,0.011
365,0.01
366,0.01
368,0.014
373,0.01
375,0.01
376,0.019
377,0.018
378,0.01
379,0.01
383,0.011
384,0.011
385,0.011
389,0.012
390,0.032
391,0.01
392,0.01
395,0.011
397,0.011
398,0.023
399,0.01
401,0.01
403,0.125
404,0.009
405,0.019
406,0.036
416,0.011
420,0.011
428,0.011
429,0.011
430,0.011
431,0.018
432,0.062
433,0.096
434,0.05
435,0.015
437,0.009
446,0.011
447,0.011
448,0.011
449,0.039
450,0.01
453,0.011
454,0.011
455,0.01
456,0.013
457,0.018
458,0.079
459,0.01
460,0.009
461,0.01
462,0.01
463,0.01
465,0.009
466,0.015
467,0.025
468,0.051
469,0.01
471,0.011
474,0.012
475,0.014
476,0.068
477,0.113
478,0.041
479,0.014
480,0.022
481,0.038
482,0.01
483,0.009
484,0.009
486,0.009
488,0.009
489,0.009
490,0.009
491,0.009
492,0.009
493,0.019
